,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
216,1652,696136,Jordan Wicks,1652,2135.0,87.8,87.85,6.3,18.5,32,7.5,5.98,2.28,50.3,0
217,8,446386,Brandon Guyer,8,1868.0,78.1,77.02,5.55,0.0,0,0.0,6.16,-2.08,,0
218,2728,606167,Adalberto Mejía,2738,2389.0,88.6,87.76,5.83,18.9,70,10.4,5.99,1.57,,0
219,15492,641154,Pablo López,15497,2180.0,89.8,90.84,6.95,24.9,239,6.0,5.51,-2.17,33.7,0
220,6072,462136,Marco Estrada,6154,2285.0,83.9,82.11,5.28,19.0,129,8.5,6.51,-0.75,,0
221,656,675512,Troy Melton,656,2221.0,91.8,93.03,6.91,20.0,15,8.3,5.44,-1.69,36.6,0
222,51,501303,Ehire Adrianza,51,1678.0,66.9,65.06,4.65,11.8,1,5.9,6.84,-1.99,44.2,0
223,3694,623474,Jimmy Herget,3720,2529.0,84.9,83.02,5.03,23.0,63,6.5,5.05,-2.37,3.3,0
224,13010,518516,Madison Bumgarner,13032,2263.0,86.3,86.39,6.38,20.1,207,6.1,5.72,2.98,25.6,0
225,157,641962,CD Pelham,157,2136.0,93.5,94.28,6.65,18.9,3,8.1,6.02,2.23,,0
